[PQView SteadyState]
A1
V Flicker Pst A,V Flicker Pst B,V Flicker Pst C,V Flicker Plt A,V Flicker Plt B,V Flicker Plt C
2007-07-12 08:40:00,0.398,0.3854,0.3631,0.398,0.3854,0.3631
2007-07-12 08:50:00,1.6628,1.3961,1.5197,1.39934358309151,1.15995731309439,1.24336948794752
2007-07-12 09:00:00,0.9593,0.737,0.6943,1.41919073256617,1.20603820214766,1.28477264652263
2007-07-12 09:10:00,1.4573,1.2889,1.3604,1.29634961827527,1.10632593106222,1.17225113860648
2007-07-12 09:20:00,0.518,0.5357,0.4334,1.20584123588303,1.03021101671138,1.09100627353977
2007-07-12 09:30:00,0.3747,0.3699,0.3674,1.16912469960724,0.994169109376688,1.06755808838525
2007-07-12 09:40:00,0.9365,0.754,0.931,1.11318619592181,0.945750014087748,1.01657161346108
2007-07-12 09:50:00,0.4081,0.29542,0.3774,1.14319882066552,0.973660021867953,1.06674656608399
2007-07-12 10:00:00,1.3193,1.1352,1.3309,1.09940406599036,0.936339444802041,1.02585147681527
2007-07-12 10:10:00,0.19253,0.15767,0.17066,1.06152272630448,0.904101021975205,0.990510378159209
2007-07-12 10:20:00,0.12642,0.12264,0.12198,1.09734314386545,0.925253341197205,0.998774499239177
2007-07-12 10:30:00,1.3704,1.0978,1.0748,0.962066980124709,0.898802920878069,0.970222313440282
2007-07-12 10:40:00,0.9077,0.6128,0.7181,0.997886758057859,0.803376732591412,0.866985496128241
2007-07-12 10:50:00,1.2849,1.1057,1.1364,0.903351806964071,0.842400995371468,0.906977433883462
2007-07-12 11:00:00,0.25673,0.31064,0.27707,0.922313794941981,0.749994338666088,0.813345462860755
2007-07-12 11:10:00,0.8912,0.8844,0.8691,0.981686628445144,0.775673984172301,0.836808676112022
2007-07-12 11:20:00,1.2579,1.1809,1.1871,0.996611135702683,0.843299132174824,0.896798194945275
2007-07-12 11:30:00,1.1044,1.0587,1.025,1.00239263308209,0.871923310479304,0.906026200954926
2007-07-12 11:40:00,0.651,0.5928,0.6164,0.934686001351053,0.87854233223186,0.91209163521816
2007-07-12 11:50:00,0.2072,0.19321,0.18233,0.934461416102985,0.822675753170263,0.825644658169824
2007-07-12 12:00:00,0.04216,0.05362,0.04805,0.934400058158884,0.822521176922809,0.825446593277635
2007-07-12 12:10:00,0.0451,0.04452,0.04503,0.844072478528952,0.822449058059572,0.825376317602248
2007-07-12 12:20:00,0.04093,0.04092,0.04106,0.813848274881556,0.764075647466814,0.7712854049487
2007-07-12 12:30:00,0.0453,0.04349,0.04868,0.712877265902954,0.752969751999869,0.753597162706445
2007-07-12 12:40:00,0.041,0.04138,0.04201,0.71195602516377,0.679877691489,0.673634735743241
2007-07-12 12:50:00,0.04462,0.04418,0.04447,0.67084144715846,0.678076715904832,0.672335596980458
2007-07-12 13:00:00,0.04093,0.04018,0.04098,0.514300006609152,0.633411845634904,0.629304630570805
2007-07-12 13:10:00,0.03288,0.03016,0.030574,0.287581575053612,0.488959264184239,0.478875514014668
2007-07-12 13:20:00,0.029951,0.028672,0.030495,0.0927521550659013,0.262153234268011,0.271794415128035
2007-07-12 13:30:00,0.03977,0.031305,0.0355,0.0396569770252926,0.0870268990515546,0.0826736674452075
2007-07-12 13:40:00,0.04093,0.027699,0.028509,0.0398310386057363,0.0391136658709817,0.0395537343476381
2007-07-12 13:50:00,0.04394,0.0439,0.04376,0.038602280594442,0.0378075734444155,0.0390658636047003
2007-07-12 14:00:00,0.028723,0.026326,0.025015,0.0378755016272219,0.0363952696298039,0.0376372509590187
2007-07-12 14:10:00,0.031179,0.026097,0.025809,0.0375818021631871,0.0352984017195702,0.036587948283039
2007-07-12 14:20:00,0.04271,0.04258,0.0428,0.0375748700168162,0.0351853175178814,0.0358044405340744
2007-07-12 14:30:00,0.04093,0.04092,0.04098,0.0362686094360764,0.0351328070195756,0.035688776122599
2007-07-12 14:40:00,0.029132,0.031362,0.027954,0.035365718675653,0.0338393080270129,0.0341847324357116
2007-07-12 14:50:00,0.029951,0.029187,0.030018,0.0355497296404552,0.0328396505141593,0.0331614906215909
2007-07-12 15:00:00,0.03527,0.03852,0.04098,0.036531358748942,0.0335880078239487,0.0341483011190778
2007-07-12 15:10:00,0.04175,0.04149,0.04145,0.0357773709161446,0.0347271388980734,0.0351401035769979
2007-07-12 15:20:00,0.030155,0.030732,0.028509,0.0357773709161446,0.0346890001573605,0.0346480723158021
2007-07-12 15:30:00,0.04093,0.04092,0.04098,0.0343517903113276,0.0357474855418539,0.0356736766421905
2007-07-12 15:40:00,0.027904,0.027699,0.027318,0.035683321089498,0.034313616988108,0.034232112001525
2007-07-12 15:50:00,0.04353,0.04515,0.04352,0.036499159037159,0.0359730182062008,0.0357469172721079
2007-07-12 16:00:00,0.04093,0.04092,0.04098,0.0364606300346614,0.0370308762756357,0.0368357234210004
2007-07-12 16:10:00,0.04237,0.04206,0.04217,0.0364606300346614,0.0369741928813576,0.0367657512521714
2007-07-12 16:20:00,0.04093,0.04092,0.04098,0.0363251563725469,0.0369741928813576,0.0367657512521714
2007-07-12 16:30:00,0.026335,0.025296,0.022315,0.036031678335332,0.0366738795024466,0.03654387241462
2007-07-12 16:40:00,0.023537,0.024323,0.023268,0.95361624225087,0.0364562676546328,0.0362407741246537
2007-07-12 16:50:00,2.1832,1.7887,2.5412,1.14635227936368,0.781310546003422,1.10998266471849
2007-07-12 17:00:00,1.9722,1.5283,1.9687,1.16935034920215,0.918313328420768,1.2606377359292
2007-07-12 17:10:00,1.0354,0.7687,1.0066,1.17101987778503,0.933036929543429,1.27821840002077
2007-07-12 17:20:00,0.4351,0.4983,0.6149,1.2755564031778,0.936966131120747,1.2821578398999
2007-07-12 17:30:00,1.7795,1.5879,1.9986,1.29625527158461,1.04957313789648,1.40492180132551
2007-07-12 17:40:00,1.0721,0.9637,0.9328,1.29837091491548,1.07167055764684,1.41625146820058
2007-07-12 17:50:00,0.5043,0.4721,0.4538,1.29872676976428,1.07420782470866,1.41754356225416
2007-07-12 18:00:00,0.27883,0.16562,0.18511,1.34685747998969,1.0743153829824,1.41763020308119
2007-07-12 18:10:00,1.4474,1.3893,1.4296,1.35515660928268,1.13532269239592,1.45691509199785
2007-07-12 18:20:00,0.817,0.6927,0.7669,1.37223118036927,1.1424406156992,1.46279381918907
2007-07-12 18:30:00,1.0456,0.9491,1.1067,1.20154789368004,1.16035356492332,1.48018241926476
2007-07-12 18:40:00,0.5991,0.7285,0.7702,1.0318044240173,1.03776827339296,1.24149746883677
2007-07-12 18:50:00,0.3315,0.26205,0.27215,1.00199198333166,0.936623860772592,1.08558765610905
2007-07-12 19:00:00,0.04612,0.0459,0.04868,1.06557381512428,0.922017721886305,1.06099734825174
2007-07-12 19:10:00,1.3625,1.1199,1.2152,0.911577064632711,0.962101099317969,1.09821972446547
2007-07-12 19:20:00,0.5907,0.4768,0.6265,0.882640968177487,0.827162614601878,0.879267768556809
2007-07-12 19:30:00,0.733,0.6576,0.7259,0.878313092330833,0.801588935019431,0.863570075955822
2007-07-12 19:40:00,0.19546,0.25347,0.23864,0.877534456116353,0.79772555463202,0.860585047180784
2007-07-12 19:50:00,0.04182,0.04275,0.04217,0.750713687350402,0.797530614554675,0.86034989281529
2007-07-12 20:00:00,0.04639,0.04544,0.04805,0.724395167264877,0.657173080687325,0.73270803709209
2007-07-12 20:10:00,0.31029,0.29714,0.26318,0.685049471879775,0.636860821639751,0.709592254864914
2007-07-12 20:20:00,0.7603,0.6822,0.7227,0.778083564787421,0.597693208382347,0.650921114939292
2007-07-12 20:30:00,1.262,1.1239,1.3374,0.835383170268264,0.669138427710565,0.758894913354404
2007-07-12 20:40:00,1.1132,1.028,1.0496,0.916878907024126,0.729761471524503,0.810153242500816
2007-07-12 20:50:00,1.3111,0.8689,0.6645,0.825247097954395,0.762484422796914,0.822380781676508
2007-07-12 21:00:00,0.28893,0.30509,0.20044,0.938857616772989,0.690074625474898,0.741270001751804
2007-07-12 21:10:00,1.5026,1.4097,1.5409,0.947642635956155,0.820825743272132,0.884385524070978
2007-07-12 21:20:00,0.8773,0.766,0.7934,1.04725152855632,0.827576211079291,0.888519079203057
2007-07-12 21:30:00,1.5295,1.1398,1.2621,1.04758882653009,0.883156853323792,0.953855465193523
2007-07-12 21:40:00,0.23749,0.19853,0.20115,1.13489458386695,0.883432661143899,0.954101592752939
2007-07-12 21:50:00,1.5529,1.3001,1.5007,1.19849931119446,0.955588728761819,1.04773897933232
2007-07-12 22:00:00,1.4655,1.1864,1.2519,1.20907153670042,1.00317944412905,1.09478173899326
2007-07-12 22:10:00,0.997,0.6969,0.8298,1.17068207111596,1.00375790822599,1.09925753654895
2007-07-12 22:20:00,0.3758,0.3288,0.23578,1.14209932290599,0.96404747480191,1.04159739138974
2007-07-12 22:30:00,0.15084,0.15286,0.14668,1.10850580640681,0.930532776956988,1.01119409928177
2007-07-12 22:40:00,0.8972,0.8839,0.783,1.15595625143257,0.931640280730974,1.01623896283869
2007-07-12 22:50:00,1.3034,1.1635,1.3176,1.13471501868548,0.978720282642181,1.07418157742167
